x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
-2.120482684191767,-2.1303306583472232,-2.140179055284703,-2.1500278729454485,-2.1598771092867532,-2.169726762281771,-2.179576829919341,-2.1894273102037887,-2.199278201154808,-2.209129500807226,-2.218981207210853,-2.2288333184303384,-2.23868583254499,-2.2485387476485967,-2.2583920618492885,-2.2682457732693915,-2.278099880045232,-2.2879543803270166,-2.29780927227867,-2.3076645540776917,-2.317520223915014,-2.327376279994844,-2.337232720534517,-2.347089543764375,-2.3569467479276445,-2.3668043312802323,-2.376662292090689,-2.3865206286399707,-2.3963793392213986,-2.406238422140499,-2.416097875714819,-2.4259576982739284,-2.4358178881591477,-2.4456784437235606,-2.4555393633318046,-2.465400645359967,-2.475262288195515,-2.485124290237133,-2.494986649894633,-2.5048493655888016,-2.5147124357513824,-2.5245758588248584,-2.534439633262405,-2.5443037575277585,-2.5541682300951636,-2.564033049449192,-2.5738982140847,-2.5837637225066885,-2.5936295732302335,-2.6034957647803902,-2.613362295692054,-2.623229164509941,-2.6330963697883614,-2.6429639100913085,-2.6528317839922066,-2.6626999900739166,-2.672568526928585,-2.682437393157611,-2.692306587371519,-2.702176108189876,-2.7120459542412587,-2.72191612416306,-2.7317866166015286,-2.7416574302115984,-2.7515285636568834,-2.7614000156095018,-2.7712717847500925,-2.7811438697676514,-2.7910162693595475,-2.8008889822313883,-2.810762007096917,-2.8206353426780137,-2.8305089877045577,-2.840382940914399,-2.85025720105328,-2.8601317668747193,-2.87000663714,-2.8798818106180817,-2.889757286085492,-2.8996330623263655,-2.909509138132203,-2.9193855123020316,-2.9292621836421304,-2.9391391509660614,-2.9490164130946304,-2.958893968855783,-2.9687718170845354,-2.978649956622942,-2.988528386320022,-2.99840710503172,-3.008286111620771,-3.0181654049567572,-3.0280449839159274,-3.0379248473812623,-3.0478049942423575,-3.0576854233953044,-3.0675661337427855,-3.0774471241938586,-3.087328393664007,-3.097209941075087,-3.1070917653551837
-1.5665544258508604,-1.574953108972218,-1.5833536389237495,-1.5917560209881714,-1.600160260474454,-1.6085663627163864,-1.6169743330710153,-1.6253841769171773,-1.6337958996539648,-1.6422095066991602,-1.6506250034876835,-1.6590423954700284,-1.6674616881107085,-1.6758828868865798,-1.684305997285307,-1.6927310248037226,-1.701157974946156,-1.7095868532228085,-1.7180176651481223,-1.72645041623903,-1.734885112013388,-1.7433217579880929,-1.7517603596775924,-1.760200922592004,-1.7686434522354137,-1.7770879541042086,-1.785534433685213,-1.793982896454055,-1.8024333478732217,-1.8108857933904625,-1.8193402384368857,-1.8277966884251817,-1.8362551487478225,-1.8447156247752499,-1.8531781218540744,-1.8616426453052064,-1.8701092004220925,-1.878577792468759,-1.8870484266781495,-1.895521108250059,-1.9039958423495165,-1.912472634104768,-1.9209514886054901,-1.9294324109009295,-1.9379154059980814,-1.9464004788597478,-1.9548876344027803,-1.9633768774961897,-1.971868212959316,-1.980361645559941,-1.988857180012504,-1.9973548209762653,-2.005854573053402,-2.014356440787308,-2.022860428660698,-2.0313665410937847,-2.0398747824425865,-2.0483851569970337,-2.0568976689792664,-2.0654123225418175,-2.073929121765943,-2.082448070659799,-2.0909691731567897,-2.0994924331138507,-2.1080178543096983,-2.1165454404432893,-2.125075195132066,-2.133607121910346,-2.1421412242277427,-2.1506775054475664,-2.1592159688452512,-2.1677566176068006,-2.1762994548273142,-2.184844483509457,-2.1933917065620085,-2.2019411267983977,-2.21049274693536,-2.219046569591461,-2.2276025972858426,-2.2361608324368114,-2.244721277360611,-2.2532839342701307,-2.2618488052737056,-2.2704158923738773,-2.278985197466312,-2.287556722338614,-2.296130468669277,-2.3047064380265883,-2.3132846318676976,-2.3218650515375416,-2.330447698268006,-2.3390325731769797,-2.3476196772674722,-2.356209011426877,-2.364800576426143,-2.373394372919021,-2.3819904014414313,-2.3905886624108015,-2.3991891561253986,-2.40779188276386,-2.416396842384595
-1.3830006664364152,-1.3917189066741527,-1.4004366137404824,-1.409153774307641,-1.4178703751007988,-1.4265864028982485,-1.435301844531941,-1.4440166868878024,-1.4527309169062441,-1.4614445215826484,-1.4701574879679076,-1.4788698031689735,-1.4875814543494152,-1.4962924287301431,-1.5050027135899198,-1.5137122962661758,-1.5224211641556666,-1.5311293047152024,-1.539836705462487,-1.5485433539768323,-1.5572492379000533,-1.5659543449373141,-1.5746586628579982,-1.5833621794966088,-1.592064882753765,-1.600766760597078,-1.6094678010621648,-1.6181679922537004,-1.6268673223463652,-1.6355657795859753,-1.64426335229051,-1.6529600288512094,-1.66165579773369,-1.6703506474790826,-1.6790445667051817,-1.6877375441075841,-1.6964295684609263,-1.7051206286200224,-1.7138107135211085,-1.7224998121830992,-1.7311879137087587,-1.7398750072860174,-1.7485610821891984,-1.757246127780309,-1.765930133510331,-1.7746130889204788,-1.7832949836435408,-1.7919758074051806,-1.8006555500252428,-1.8093342014190261,-1.8180117515987047,-1.826688190674567,-1.835363508856405,-1.8440376964547545,-1.8527107438823298,-1.86138264165528,-1.8700533803945187,-1.878722950827069,-1.8873913437873808,-1.896058550218623,-1.9047245611739838,-1.9133893678179803,-1.922052961427796,-1.9307153333944205,-1.939376475224094,-1.9480363785394426,-1.9566950350807737,-1.9653524367072788,-1.974008575398262,-1.9826634432543677,-1.9913170324987162,-1.9999693354780985,-2.0086203446641426,-2.0172700526543523,-2.0259184521733347,-2.0345655360738073,-2.043211297337634,-2.051855729076972,-2.060498824535157,-2.069140577087787,-2.0777809802436176,-2.0864200276455382,-2.0950577130714434,-2.103694030435127,-2.112328973787101,-2.120962537315503,-2.129594715346681,-2.1382255023461565,-2.1468548929192397,-2.155482881811667,-2.164109463910373,-2.172734634243955,-2.181358387983368,-2.1899807204424095,-2.1986016270782405,-2.207221103491795,-2.215839145428285,-2.224455748777538,-2.2330709095743684,-2.241684623998832,-2.2502968883765746
-1.056633668130565,-1.0636174543601313,-1.0706054732396697,-1.077597749549355,-1.08459430808241,-1.0915951736351663,-1.098600370996847,-1.1056099249392186,-1.112623860205953,-1.1196422015018497,-1.1266649734818848,-1.1336922007400174,-1.140723907797817,-1.1477601190929871,-1.1548008589676182,-1.1618461516563348,-1.168896021274264,-1.1759504918048533,-1.1830095870875892,-1.1900733308055151,-1.197141746472649,-1.2042148574212732,-1.2112926867891771,-1.2183752575067552,-1.2254625922840159,-1.2325547135974897,-1.2396516436772105,-1.2467534044934796,-1.253860017743701,-1.2609715048391845,-1.2680878868918601,-1.2752091847011437,-1.2823354187406413,-1.2894666091450946,-1.2966027756971905,-1.303743937814527,-1.3108901145366971,-1.318041324512365,-1.3251975859865446,-1.332358916787974,-1.3395253343166118,-1.3466968555313983,-1.3538734969380242,-1.36105527457709,-1.3682422040122917,-1.3754343003190341,-1.3826315780730518,-1.3898340513395622,-1.3970417336624674,-1.4042546380539764,-1.4114727769844764,-1.418696162372837,-1.4259248055768907,-1.4331587173843605,-1.4403979080041924,-1.447642387058259,-1.4548921635733052,-1.4621472459735347,-1.4694076420734856,-1.4766733590713539,-1.483944403542744,-1.4912207814349412,-1.4985024980615786,-1.5057895580977885,-1.513081965575843,-1.5203797238812904,-1.5276828357495809,-1.5349913032631146,-1.5423051278489257,-1.5496243102767533,-1.5569488506576696,-1.5642787484432368,-1.5716140024251095,-1.5789546107351875,-1.5863005708462972,-1.5936518795733041,-1.6010085330748518,-1.608370526855418,-1.6157378557680662,-1.6231105140175544,-1.6304884951639467,-1.6378717921267194,-1.6452603971893704,-1.6526543020043656,-1.6600534975987096,-1.667457974379806,-1.6748677221417818,-1.6822827300722967,-1.6897029867596782,-1.6971284802004802,-1.7045591978074093,-1.7119951264176265,-1.719436252301391,-1.726882561171033,-1.7343340381902976,-1.741790667983877,-1.7492524346473937,-1.756719321757484,-1.7641913123822928,-1.7716683890921352,-1.779150533970328
-0.9027777469255359,-0.9101298612344024,-0.9174820007985001,-0.9248341332883779,-0.9321862264859794,-0.9395382482910125,-0.946890166727595,-0.9542419499511757,-0.9615935662558172,-0.9689449840816945,-0.976296172022939,-0.9836470988356836,-0.9909977334464393,-0.9983480449606944,-1.0056980026717712,-1.013047576069878,-1.0203967348514789,-1.0277454489288353,-1.0350936884396698,-1.042441423757224,-1.049788625500337,-1.057135264543705,-1.0644813120284533,-1.0718267393727126,-1.0791715182823352,-1.086515620761844,-1.0938590191253958,-1.1012016860079124,-1.1085435943761983,-1.1158847175402002,-1.1232250291643575,-1.130564503278867,-1.1379031142910656,-1.145240836996764,-1.1525776465916604,-1.1599135186825704,-1.167248429298738,-1.1745823549030598,-1.181915272403181,-1.1892471591625557,-1.1965779930113323,-1.2039077522571473,-1.2112364156957829,-1.2185639626215778,-1.225890372837752,-1.23321562666646,-1.2405397049586229,-1.2478625891035717,-1.2551842610384252,-1.262504703257103,-1.2698238988191817,-1.2771418313583947,-1.2844584850907517,-1.2917738448224212,-1.299087895957221,-1.306400624503681,-1.3137120170818497,-1.321022060929593,-1.3283307439085748,-1.3356380545097695,-1.3429439818585356,-1.3502485157193258,-1.3575516464998632,-1.364853365254894,-1.3721536636894873,-1.3794525341618655,-1.3867499696856642,-1.394045963931897,-1.4013405112302186,-1.408633606569828,-1.415925245599829,-1.4232154246291138,-1.4305041406257148,-1.437791391215667,-1.4450771746813948,-1.4523614899595974,-1.459644336638571,-1.4669257149551562,-1.4742056257910845,-1.481484070668941,-1.4887610517475647,-1.4960365718170248,-1.5033106342931728,-1.5105832432116528,-1.51785440322152,-1.5251241195784673,-1.5323923981375245,-1.5396592453454747,-1.5469246682327116,-1.5541886744049138,-1.561451272034174,-1.5687124698498265,-1.575972277128941,-1.5832307036865458,-1.5904877598653346,-1.5977434565253736,-1.6049978050332252,-1.6122508172510113,-1.619502505525119,-1.6267528826747222,-1.6340019619800528
-0.7074988412784774,-0.7148798086189226,-0.7222601942387348,-0.7296399708980661,-0.7370191118633519,-0.7443975908899022,-0.7517753822056896,-0.759152460495994,-0.7665288008890866,-0.7739043789426314,-0.7812791706308829,-0.7886531523326257,-0.7960263008196696,-0.8033985932460298,-0.8107700071376112,-0.8181405203823823,-0.8255101112211435,-0.8328787582385401,-0.8402464403546878,-0.8476131368171038,-0.8549788271929252,-0.8623434913615929,-0.8697071095078033,-0.8770696621147076,-0.8844311299574774,-0.8917914940970907,-0.8991507358743452,-0.9065088369041683,-0.9138657790700931,-0.921221544518983,-0.9285761156559006,-0.9359294751392812,-0.9432816058761513,-0.9506324910175975,-0.9579821139543744,-0.9653304583126832,-0.9726775079500838,-0.9800232469515389,-0.9873676596256374,-0.9947107305008557,-1.0020524443220906,-1.0093927860471212,-1.0167317408433565,-1.0240692940845821,-1.0314054313478611,-1.038740138410521,-1.0460734012472297,-1.0534052060271637,-1.0607355391112887,-1.0680643870497104,-1.0753917365790822,-1.0827175746201292,-1.0900418882752627,-1.0973646648261919,-1.1046858917317202,-1.1120055566254796,-1.1193236473138566,-1.1266401517739058,-1.13395505815135,-1.1412683547586286,-1.1485800300730575,-1.1558900727349486,-1.1631984715458648,-1.170505215466935,-1.1778102936171517,-1.1851136952717536,-1.1924154098607167,-1.1997154269671695,-1.20701373632601,-1.2143103278223832,-1.2216051914903912,-1.2288983175117087,-1.236189696214298,-1.2434793180711867,-1.2507671736992159,-1.258053253857889,-1.2653375494482224,-1.2726200515116444,-1.279900751228955,-1.2871796399192814,-1.2944567090390702,-1.301731950181131,-1.309005355073739,-1.3162769155796663,-1.323546623695396,-1.3308144715502117,-1.3380804514054239,-1.3453445556535908,-1.3526067768177457,-1.3598671075506605,-1.3671255406341836,-1.3743820689785042,-1.381636685621545,-1.3888893837283138,-1.3961401565903,-1.403388997624881,-1.4106359003747573,-1.417880858507431,-1.4251238658146468,-1.4323649162119152,-1.4396040037380209
-0.5936865003508239,-0.5993789960235094,-0.605081101777072,-0.6107928878380398,-0.6165144227889894,-0.6222457734701147,-0.6279870048815445,-0.6337381800864335,-0.6394993601153793,-0.6452706038723889,-0.6510519680426923,-0.6568435070027773,-0.6626452727329405,-0.6684573147326782,-0.6742796799392706,-0.6801124126498074,-0.685955554447015,-0.6918091441291683,-0.697673217644346,-0.7035478080293185,-0.7094329453532974,-0.7153286566668311,-0.7212349659559455,-0.7271518941018869,-0.7330794588464458,-0.7390176747631853,-0.7449665532345028,-0.7509261024347818,-0.7568963273196871,-0.7628772296213674,-0.7688688078500227,-0.7748710573014671,-0.7808839700706809,-0.7869075350715069,-0.7929417380620615,-0.7989865616759991,-0.8050419854593597,-0.8111079859127414,-0.817184536538889,-0.8232716078950778,-0.8293691676504057,-0.8354771806475433,-0.8415956089687758,-0.8477244120059466,-0.8538635465341659,-0.8600129667887888,-0.866172624545591,-0.8723424692035885,-0.8785224478703606,-0.8847125054495147,-0.8909125847299171,-0.8971226264765204,-0.903342569522251,-0.9095723508609396,-0.9158119057408295,-0.9220611677583338,-0.9283200689519174,-0.9345885398958059,-0.9408665097931123,-0.9471539065684564,-0.9534506569594473,-0.9597566866072587,-0.9660719201457648,-0.9723962812891368,-0.9787296929179341,-0.9850720771632674,-0.9914233554889625,-0.9977834487718411,-1.0041522773795966,-1.0105297612466078,-1.0169158199472628,-1.023310372766933,-1.0297133387704198,-1.0361246368679855,-1.042544185878729,-1.0489719045915078,-1.0554077118231884,-1.0618515264743726,-1.0683032675826032,-1.074762854372908,-1.0812302063059287,-1.0877052431235004,-1.094187884891783,-1.1006780520419837,-1.1071756654087215,-1.113680646266025,-1.1201929163611324,-1.1267123979460996,-1.1332390138071446,-1.1397726872920886,-1.146313342335688,-1.1528609034829558,-1.1594152959108086,-1.1659764454476924,-1.1725442785915927,-1.1791187225263577,-1.1856997051364473,-1.1922871550200045,-1.1988810015007056,-1.2054811746379888,-1.2120876052361482
-0.4822144870141413,-0.48814295146703146,-0.49407155480145626,-0.500000086759014,-0.5059283556467488,-0.5118561856264643,-0.517783414562516,-0.5237098923012526,-0.5296354792869359,-0.5355600454421169,-0.541483469257383,-0.5474056370476981,-0.5533264423424048,-0.559245785382805,-0.5651635727066208,-0.5710797168030068,-0.5769941358248898,-0.5829067533480209,-0.5888174981679645,-0.5947263041280966,-0.6006331099725428,-0.6065378592194712,-0.6124405000505503,-0.6183409852133507,-0.6242392719337468,-0.6301353218361689,-0.6360291008695225,-0.6419205792373076,-0.6478097313304175,-0.653696535661488,-0.6595809747998705,-0.665463035306428,-0.6713427076672823,-0.6772199862263953,-0.6830948691161111,-0.6889673581855905,-0.6948374589268645,-0.7007051803982404,-0.7065705351450314,-0.712433539117502,-0.7182942115861503,-0.7241525750541759,-0.7300086551673917,-0.7358624806216466,-0.741714083067864,-0.7475634970148697,-0.7534107597303542,-0.7592559111398763,-0.7650989937244904,-0.770940052416929,-0.7767791344967345,-0.7826162894846118,-0.7884515690361251,-0.7942850268350664,-0.8001167184867399,-0.8059467014113829,-0.8117750347379937,-0.8176017791986795,-0.8234269970239003,-0.8292507518387504,-0.8350731085603913,-0.8408941332969385,-0.8467138932479701,-0.8525324566067104,-0.8583498924641515,-0.8641662707152129,-0.8699816619669926,-0.8757961374493544,-0.8816097689278242,-0.887422628618939,-0.893234789108079,-0.8990463232699314,-0.904857304191495,-0.9106678050977789,-0.9164778992801651,-0.9222876600275005,-0.9280971605598113,-0.933906473964745,-0.939715673136789,-0.9455248307189756,-0.9513340190473928,-0.9571433100982149,-0.9629527754373327,-0.9687624861725017,-0.9745725129079905,-0.9803829257016382,-0.986193794024324,-0.992005186721666,-0.9978171719781187,-1.0036298172831513,-1.009443189399564,-1.0152573543339596,-1.0210723773090897,-1.026888322738281,-1.0327052542015436,-1.0385232344236626,-1.044342325253907,-1.050162587647423,-1.0559840816482513,-1.0618068663738598,-1.0676310000011713
-0.35559442294418636,-0.35639713556815855,-0.3572546264264463,-0.35818599622162833,-0.3592212412426454,-0.3604092378205217,-0.3618313790850997,-0.3636202159723961,-0.36596486903945563,-0.36904869229142867,-0.3729108559554079,-0.37740649641483454,-0.3823326316811229,-0.38753067798044727,-0.39290029629905293,-0.3983815534853365,-0.40393840688194144,-0.4095485174074707,-0.41519752632050516,-0.42087586587680165,-0.42657694436381277,-0.432296081267934,-0.43802986194506816,-0.4437757340617457,-0.4495317477501708,-0.4552963837664714,-0.4610684370532511,-0.4668469360858227,-0.47263108587661834,-0.47842022695909575,-0.48421380537756087,-0.4900113503941006,-0.4958124576959464,-0.5016167765830226,-0.5074240000756872,-0.513233857192889,-0.5190461068625788,-0.5248605330734467,-0.5306769409804912,-0.5364951537503938,-0.5423150099861777,-0.5481363616090978,-0.5539590721044775,-0.5597830150592421,-0.5656080729350627,-0.5714341360330926,-0.5772611016153362,-0.5830888731550437,-0.5889173596938894,-0.5947464752880912,-0.6005761385288346,-0.606406272125388,-0.6122368025410336,-0.6180676596739533,-0.6238987765763627,-0.6297300892064907,-0.6355615362087653,-0.641393058718357,-0.6472246001867982,-0.653056106226057,-0.6588875244685283,-0.6647188044411952,-0.6705498974520102,-0.6763807564872332,-0.6822113361184159,-0.6880415924178273,-0.6938714828815291,-0.6997009663592495,-0.7055300029902595,-0.7113585541446663,-0.7171865823696826,-0.7230140513401152,-0.7288409258129905,-0.7346671715857105,-0.7404927554573829,-0.7463176451932182,-0.7521418094915663,-0.7579652179533357,-0.763787841053792,-0.7696096501162693,-0.7754306172878391,-0.7812507155165949,-0.7870699185306469,-0.7928882008184277,-0.7987055376104507,-0.8045219048621748,-0.8103372792380746,-0.8161516380967666,-0.821964959476979,-0.8277772220845702,-0.8335884052802113,-0.8393984890679117,-0.8452074540842446,-0.8510152815881299,-0.8568219534513016,-0.8626274521492849,-0.868431760752857,-0.8742348629199848,-0.8800367428882101,-0.8858373854674054,-0.8916367760328551
-0.30882678532507907,-0.3143775180510881,-0.3198917140477685,-0.3253507763244528,-0.3307252975217797,-0.3359670891728961,-0.34099556047095697,-0.3456790951755336,-0.3498296607574007,-0.35326516933920177,-0.35594792439961936,-0.3580245061053379,-0.3596998981855218,-0.3611350223121131,-0.3624329529617132,-0.36365683026595,-0.36484646423177797,-0.3660286278942566,-0.36722290650345873,-0.36844503417842106,-0.3697088775211308,-0.3710276870929281,-0.37241493810262644,-0.3738849189749564,-0.37545313196745383,-0.37713650745272215,-0.37895338702686393,-0.3809231986757169,-0.3830657405993018,-0.3854000287664327,-0.3879427639386581,-0.3907066277741218,-0.3936987670122814,-0.396919873225478,-0.40036414154084277,-0.4040201250533664,-0.40787222656580285,-0.4119024266032441,-0.41609187939412795,-0.4204221529026226,-0.42487604760771536,-0.42943803873324254,-0.4340944353377474,-0.43883335388336403,-0.4436445861717544,-0.4485194181754963,-0.4534504355768707,-0.4584313364153722,-0.4634567609743104,-0.4685221427494775,-0.4736235807959068,-0.4787577319420748,-0.4839217205915218,-0.4891130636415464,-0.4943296081572303,-0.4995694796824128,-0.5048310393570067,-0.5101128482943857,-0.5154136379315418,-0.5207322852903518,-0.5260677922791196,-0.53141926832242,-0.5367859157379297,-0.5421670173858676,-0.5475619262033727,-0.5529700563067462,-0.558390875401901,-0.5638238982892024,-0.5692686812873279,-0.5747248174306745,-0.5801919323202926,-0.58566968052856,-0.5911577424742498,-0.5966558216988542,-0.602163642485679,-0.6076809477730344,-0.6132074973201461,-0.6187430660910515,-0.6242874428269721,-0.6298404287819578,-0.6354018366005573,-0.6409714893190469,-0.6465492194748713,-0.6521348683104332,-0.6577282850600056,-0.6633293263095834,-0.6689378554210198,-0.6745537420130422,-0.6801768614925477,-0.6858070946305186,-0.6914443271775333,-0.697088449514648,-0.702739356335807,-0.7083969463582922,-0.7140611220585326,-0.7197317894304424,-0.7254088577640877,-0.7310922394427428,-0.7367818497563157,-0.742477606729767,-0.7481794309649787
